id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23393082,Sleek Boston Studio |Work Desk and W-Fi,95459395,Bluebird,,Chinatown,42.352093,-71.060806,Entire home/apt,550,1,1,2021-03-08,0.06,13,362,0,Approved by government
23393395,Studio steps 2 Boston Commons & Close to Hospitals,95459395,Bluebird,,Chinatown,42.352093,-71.060806,Entire home/apt,569,1,0,,,13,362,0,Approved by government
23393589,Stunning Boston Studio |Perfect for Travel Nurses,95459395,Bluebird,,Chinatown,42.352093,-71.060806,Entire home/apt,569,1,2,2021-08-29,0.14,13,362,1,Approved by government
23394295,Luxury Studio|High Speed Internet|Boston,95459395,Bluebird,,Chinatown,42.352093,-71.060806,Entire home/apt,550,1,1,2021-06-05,0.08,13,362,0,Approved by government
23412602,Sunny Studio in the Heart of Fenway,150612456,Michelle,,Fenway,42.34687,-71.10553,Entire home/apt,98,91,2,2018-08-22,0.04,1,0,0,
23420771,Luxury 1 Bedroom Apartment,133407298,Juliana & Ivan (Myhomelike),,South Boston Waterfront,42.3501,-71.04293,Entire home/apt,249,5,22,2022-06-01,0.42,2,82,1,Exempt: This listing is a unit used for furnished institutional or business stays
23483066,Private room close to public transportation,14211557,Joshua,,East Boston,42.3814,-71.03251,Private room,28,32,4,2019-05-13,0.08,1,0,0,
23487191,Fort Hill Top - 1Fr - Guest Rm Jamaica Plain/Roxb,8513158,Kevin,,Roxbury,42.32564,-71.09406,Private room,43,60,14,2022-03-31,0.29,5,120,2,STR-383293
23502271,"Comfy, cozy and perfect location.",21000237,Sue,,North End,42.36624,-71.05741,Entire home/apt,160,29,10,2019-11-11,0.20,1,0,0,STR-413767
23502542,"Small furnished space, great location.",4299002,Lauren,,Downtown,42.3611,-71.06191,Private room,50,91,88,2019-05-06,1.70,2,0,0,
23592161,"Cozy, Modern & Central 1 bed close to waterfront.",40132620,Dr. Robert,,North End,42.36595,-71.05406,Entire home/apt,295,12,136,2020-03-17,2.72,1,264,0,STR-415700
23624354,Single Family in Historic Charlestown,36524200,Karen,,Charlestown,42.37926,-71.06328,Entire home/apt,375,91,1,2018-08-03,0.02,1,0,0,
23632539,Chill & Cozy Apt Dwntwn/TheatreDst/Chnatwn/BckBay,173074212,Brandon,,Downtown,42.35223,-71.06427,Entire home/apt,222,91,5,2018-05-13,0.10,1,0,0,
23668146,#102 Boston private AC BR 全楼禁烟厨具齐全适長住,112905339,Weihai,,Dorchester,42.30949,-71.06576,Private room,52,30,35,2021-11-07,0.68,9,188,2,
23687280,Charming 3 Bed  Near hynes convention center #40,133927887,Kat,,Back Bay,42.34482,-71.08629,Entire home/apt,353,91,14,2018-08-27,0.27,14,0,0,
23687980,Luxury - 3 Bed - Next to Prudential #44,133927887,Kat,,Back Bay,42.34467,-71.08401,Entire home/apt,325,91,14,2018-08-24,0.27,14,0,0,
23761996,"2Bed/2Bath, Modern Bldg  Across MGH W/D In Suite",20079643,Alex @ Bcohousing,,West End,42.36456,-71.06923,Entire home/apt,379,75,12,2022-03-18,0.33,11,254,3,Exempt: This listing is a unit used for furnished institutional or business stays
23780136,Adam's Village/Cedar Grove Boston,70703613,Peggy,,Dorchester,42.27955,-71.05389,Entire home/apt,110,29,77,2020-11-02,1.53,1,286,0,STR-415957
23790542,Basic living for short term stay in Boston,117015594,Trinh,,Dorchester,42.31602,-71.05477,Private room,30,91,1,2018-04-30,0.02,2,0,0,
23791827,Beautiful and Comfy . 1 Queen Bed,96420804,Carlos,,Dorchester,42.29787,-71.06523,Private room,55,91,16,2022-05-29,0.32,3,67,2,Str-400538
23801768,Cozy Studio in East Boston 2120,18202088,Luxurious,,East Boston,42.3654,-71.03949,Entire home/apt,199,91,1,2019-09-03,0.03,18,89,0,
23805314,The Red Door Carriage House,12369993,David,,West Roxbury,42.28996,-71.1459,Entire home/apt,364,3,154,2022-06-09,3.02,1,213,46,STR-408842
23805779,"Beautiful home near the City, Home away from home.",157054088,Ian,,Dorchester,42.30049,-71.0779,Private room,60,91,21,2020-02-25,0.41,1,107,0,STR-416212
23822858,Evolve Wharf,18202088,Luxurious,,Downtown,42.35317,-71.05421,Entire home/apt,225,91,9,2019-07-25,0.18,18,0,0,
23841523,Lrge 1 BR Apt | Water View | Fast WiFi | Best Loc.,20079643,Alex @ Bcohousing,,West End,42.36563,-71.06834,Entire home/apt,261,75,9,2021-01-05,0.19,11,340,0,Exempt: This listing is a unit used for furnished institutional or business stays
23842606,Very comfy room with all you need and more.,67103816,Firlian,,Roxbury,42.31611,-71.0921,Private room,33,31,14,2022-06-02,0.29,7,119,4,
23872975,Luxe Historic Elegance Overlooking Thompson Square,149379579,Kristen,,Charlestown,42.37648,-71.06444,Entire home/apt,319,4,46,2022-06-04,0.97,1,30,17,STR-418356
23912131,Quite 1 Bd Apt near Massachusetts General Hospital,20079643,Alex @ Bcohousing,,West End,42.36393,-71.069,Entire home/apt,238,75,15,2022-05-13,0.30,11,298,1,Exempt: This listing is a unit used for furnished institutional or business stays
23918171,Adorable South End/Back Bay Basement Apartment,108741752,Cassandra,,South End,42.33935,-71.07489,Entire home/apt,90,29,86,2020-08-15,1.70,1,0,0,Exempt: This listing is a unit that has contracts with hospitals
23924118,Lovely and Comfortable,96420804,Carlos,,Dorchester,42.29933,-71.06355,Entire home/apt,140,91,8,2019-05-22,0.16,3,194,0,Str-400538
23947734,Short Walk to T!,16186589,Marie,,Dorchester,42.28787,-71.06662,Private room,40,30,0,,,27,163,0,
23948295,Mezzanine place 5 min ride to Downtown,156730180,Benny,,East Boston,42.37856,-71.02689,Entire home/apt,135,1,165,2022-05-22,3.24,2,157,32,STR-446302
23965606,Lovely 3 Bedroom Apartment by the Red Line!,16186589,Marie,,Dorchester,42.28787,-71.06692,Entire home/apt,120,30,1,2021-08-07,0.10,27,298,1,
24032465,Private Room & Great Location by the Red Line!,16186589,Marie,,Dorchester,42.28853,-71.06631,Private room,45,30,2,2018-07-31,0.04,27,133,0,
24034961,3 Minutes Walk to the Red Line!,16186589,Marie,,Dorchester,42.28816,-71.06655,Private room,39,30,0,,,27,163,0,
24035495,Beautiful 2 bedroom condo in Boston's South End,7701185,Matthew,,South End,42.33954,-71.07838,Entire home/apt,130,29,61,2022-05-31,1.22,1,180,3,
24061454,Fully Furnished 2 Bedroom in Boston near Berklee,5322468,Andre,,Fenway,42.34492,-71.08872,Entire home/apt,110,181,0,,,2,74,0,
24079621,Victorian 3rd Floor Unit,66645251,Mary,,Dorchester,42.30441,-71.06202,Entire home/apt,158,1,82,2022-05-22,1.61,2,120,24,STR-424305
24080196,A room,23953876,Kexi & Anthony,,Dorchester,42.31125,-71.05151,Private room,69,29,127,2020-03-01,2.48,3,0,0,Exempt: This listing is a unit used for furnished institutional or business stays
24087726,C room,23953876,Kexi & Anthony,,Dorchester,42.31002,-71.05201,Private room,69,29,131,2020-03-15,2.56,3,0,0,STR-416108
24090510,D room,23953876,Kexi & Anthony,,Dorchester,42.31163,-71.05311,Private room,69,29,114,2020-03-10,2.24,3,0,0,STR-416108
24094681,LARGE studio in heart of Back Bay Marathon closeby,37825111,Drew,,Back Bay,42.35125,-71.08101,Entire home/apt,175,91,1,2018-04-16,0.02,1,0,0,
24113222,Private Bedroom with an en-suite.,181618738,Benjamin,,Roxbury,42.32257,-71.07105,Private room,60,29,110,2021-04-12,2.15,1,224,0,STR-418358
24131246,"Boston Beautiful, Large yet cozy and modern",93115614,Selim,,Allston,42.35309,-71.12907,Entire home/apt,135,600,0,,,1,0,0,
24152390,Cozy and beautiful Private room . 1 Queen Bed,96420804,Carlos,,Dorchester,42.29798,-71.06331,Private room,56,91,13,2021-12-31,0.26,3,84,1,Str-400538
24168312,Back Bay Apt on Marlborough St (Hereford St block),180283497,Michelle,,Back Bay,42.35136,-71.08851,Entire home/apt,129,29,16,2021-07-09,0.32,8,324,1,
